"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Проверка счетчика товаров в корзине","Surefire suite","Wed Jul 30 16:20:55 GMT 2025","passed","Wed Jul 30 16:20:55 GMT 2025","tests.NewCartTest","Surefire test","tests.NewCartTest","checkCounterDisplay"
"","159","Проверка добавления товара в корзину","Surefire suite","Wed Jul 30 16:20:51 GMT 2025","passed","Wed Jul 30 16:20:51 GMT 2025","tests.NewCartTest","Surefire test","tests.NewCartTest","checkAddToCart"
"","561","checkLocators","Surefire suite","Wed Jul 30 16:20:59 GMT 2025","passed","Wed Jul 30 16:21:00 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка, что пользователь не может войти в магазин, когда вводит разные невалидные данные","207","Проверка входа в систему с разными невалидными данными","Surefire suite","Wed Jul 30 16:21:08 GMT 2025","passed","Wed Jul 30 16:21:09 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","266","Проверка удаления товара из корзины","Surefire suite","Wed Jul 30 16:20:52 GMT 2025","passed","Wed Jul 30 16:20:52 GMT 2025","tests.NewCartTest","Surefire test","tests.NewCartTest","checkRemove"
"Проверка, что пользователь может войти в магазин, когда вводит валидные данные","229","Проверка входа в систему с валидными данными","Surefire suite","Wed Jul 30 16:21:01 GMT 2025","passed","Wed Jul 30 16:21:01 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка, что пользователь не может войти в магазин, когда вводит разные невалидные данные","201","Проверка входа в систему с разными невалидными данными","Surefire suite","Wed Jul 30 16:21:07 GMT 2025","passed","Wed Jul 30 16:21:07 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка, что пользователь не может войти в магазин, когда вводит разные невалидные данные","204","Проверка входа в систему с разными невалидными данными","Surefire suite","Wed Jul 30 16:21:06 GMT 2025","passed","Wed Jul 30 16:21:06 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","255","Проверка кнопки Continue Shopping","Surefire suite","Wed Jul 30 16:20:57 GMT 2025","passed","Wed Jul 30 16:20:58 GMT 2025","tests.FailedTest","Surefire test","tests.FailedTest","checkCounterDisplay"
"","215","Проверка перехода к оформлению заказа","Surefire suite","Wed Jul 30 16:20:53 GMT 2025","passed","Wed Jul 30 16:20:54 GMT 2025","tests.NewCartTest","Surefire test","tests.NewCartTest","checkCheckout"
"Проверка, что пользователь не может войти в магазин, когда вводит пустой пароль","219","Проверка входа в систему без пароля","Surefire suite","Wed Jul 30 16:21:03 GMT 2025","passed","Wed Jul 30 16:21:04 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"Проверка, что пользователь не может войти в магазин, когда вводит невалидные данные","210","Проверка входа в систему с невалидными данными","Surefire suite","Wed Jul 30 16:21:02 GMT 2025","passed","Wed Jul 30 16:21:02 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
"","211","Проверка перехода на страницу продолжения покупок","Surefire suite","Wed Jul 30 16:20:56 GMT 2025","passed","Wed Jul 30 16:20:56 GMT 2025","tests.NewCartTest","Surefire test","tests.NewCartTest","checkCountinueShopping"
"Проверка, что пользователь не может войти в магазин, когда вводит пустой логин","207","Проверка входа в систему без логина","Surefire suite","Wed Jul 30 16:21:05 GMT 2025","passed","Wed Jul 30 16:21:05 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUsername"
"","439","checkCart","Surefire suite","Wed Jul 30 16:20:49 GMT 2025","passed","Wed Jul 30 16:20:50 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
